frame;rangeResMag;bearingResMag;rangeResClr;height;width
601;0.026875;0.180528;0.026875;646;256
602;0.026875;0.180528;0.026875;646;256
603;0.026875;0.180528;0.026875;646;256
604;0.026875;0.180528;0.026875;646;256
605;0.026875;0.180528;0.026875;646;256
606;0.026875;0.180528;0.026875;646;256
607;0.026875;0.180528;0.026875;646;256
608;0.026875;0.180528;0.026875;646;256
609;0.026875;0.180528;0.026875;646;256
610;0.026875;0.180528;0.026875;646;256
611;0.026875;0.180528;0.026875;646;256
612;0.026875;0.180528;0.026875;646;256
613;0.026875;0.180528;0.026875;646;256
614;0.026875;0.180528;0.026875;646;256
615;0.026875;0.180528;0.026875;646;256
616;0.026875;0.180528;0.026875;646;256
617;0.026875;0.180528;0.026875;646;256
618;0.026875;0.180528;0.026875;646;256
619;0.026875;0.180528;0.026875;646;256
620;0.026875;0.180528;0.026875;646;256
621;0.026875;0.180528;0.026875;646;256
622;0.026875;0.180528;0.026875;646;256
623;0.026875;0.180528;0.026875;646;256
624;0.026875;0.180528;0.026875;646;256
625;0.026875;0.180528;0.026875;646;256
626;0.026875;0.180528;0.026875;646;256
627;0.026875;0.180528;0.026875;646;256
628;0.026875;0.180528;0.026875;646;256
629;0.026875;0.180528;0.026875;646;256
630;0.026875;0.180528;0.026875;646;256
631;0.026875;0.180528;0.026875;646;256
632;0.026875;0.180528;0.026875;646;256
633;0.026875;0.180528;0.026875;646;256
634;0.026875;0.180528;0.026875;646;256
635;0.026875;0.180528;0.026875;646;256
636;0.026875;0.180528;0.026875;646;256
637;0.026875;0.180528;0.026875;646;256
638;0.026875;0.180528;0.026875;646;256
639;0.026875;0.180528;0.026875;646;256
640;0.026875;0.180528;0.026875;646;256
641;0.026875;0.180528;0.026875;646;256
642;0.026875;0.180528;0.026875;646;256
643;0.026875;0.180528;0.026875;646;256
644;0.026875;0.180528;0.026875;646;256
645;0.026875;0.180528;0.026875;646;256
646;0.026875;0.180528;0.026875;646;256
647;0.026875;0.180528;0.026875;646;256
648;0.026875;0.180528;0.026875;646;256
649;0.026875;0.180528;0.026875;646;256
650;0.026875;0.180528;0.026875;646;256
651;0.026875;0.180528;0.026875;646;256
